Start: 0.456730, Duration: 0.433380, Confidence: 0.908000
Start: 0.890110, Duration: 0.422360, Confidence: 0.819000
Start: 1.312470, Duration: 0.435360, Confidence: 0.787000
Start: 1.747830, Duration: 0.436830, Confidence: 0.438000
Start: 2.184660, Duration: 0.434660, Confidence: 0.241000
Start: 2.619320, Duration: 0.439950, Confidence: 0.100000
Start: 3.059270, Duration: 0.437360, Confidence: 0.035000
Start: 3.496630, Duration: 0.431450, Confidence: 0.022000
Start: 3.928070, Duration: 0.424790, Confidence: 0.552000
Start: 4.352860, Duration: 0.424870, Confidence: 0.694000
Start: 4.777740, Duration: 0.422710, Confidence: 0.719000
Start: 5.200450, Duration: 0.426920, Confidence: 0.778000
Start: 5.627370, Duration: 0.428900, Confidence: 0.684000
Start: 6.056260, Duration: 0.431620, Confidence: 0.573000
Start: 6.487880, Duration: 0.442220, Confidence: 0.274000
Start: 6.930100, Duration: 0.442680, Confidence: 0.152000
Start: 7.372770, Duration: 0.440090, Confidence: 0.666000
Start: 7.812870, Duration: 0.436760, Confidence: 0.545000
Start: 8.249630, Duration: 0.431170, Confidence: 0.454000
Start: 8.680800, Duration: 0.427810, Confidence: 0.383000
Start: 9.108610, Duration: 0.426700, Confidence: 0.260000
Start: 9.535320, Duration: 0.421810, Confidence: 0.389000
Start: 9.957130, Duration: 0.419940, Confidence: 0.325000
Start: 10.377070, Duration: 0.418430, Confidence: 0.283000
Start: 10.795500, Duration: 0.414670, Confidence: 0.256000
Start: 11.210170, Duration: 0.408280, Confidence: 0.608000
Start: 11.618460, Duration: 0.400910, Confidence: 0.753000
Start: 12.019370, Duration: 0.405150, Confidence: 0.656000
Start: 12.424520, Duration: 0.409880, Confidence: 0.467000
Start: 12.834390, Duration: 0.409030, Confidence: 0.368000
Start: 13.243430, Duration: 0.403710, Confidence: 0.379000
Start: 13.647130, Duration: 0.410060, Confidence: 0.274000
Start: 14.057190, Duration: 0.419410, Confidence: 0.170000
Start: 14.476600, Duration: 0.425750, Confidence: 0.042000
Start: 14.902350, Duration: 0.424600, Confidence: 0.853000
Start: 15.326950, Duration: 0.423790, Confidence: 0.741000
Start: 15.750740, Duration: 0.431560, Confidence: 0.520000
Start: 16.182310, Duration: 0.442690, Confidence: 0.460000
Start: 16.624990, Duration: 0.435180, Confidence: 0.220000
Start: 17.060180, Duration: 0.434310, Confidence: 0.055000
Start: 17.494480, Duration: 0.437380, Confidence: 0.025000
Start: 17.931860, Duration: 0.437870, Confidence: 0.389000
Start: 18.369730, Duration: 0.432740, Confidence: 0.571000
Start: 18.802470, Duration: 0.429460, Confidence: 0.449000
Start: 19.231930, Duration: 0.421010, Confidence: 0.356000
Start: 19.652940, Duration: 0.426950, Confidence: 0.450000
Start: 20.079890, Duration: 0.428480, Confidence: 0.342000
Start: 20.508370, Duration: 0.428550, Confidence: 0.257000
Start: 20.936920, Duration: 0.426040, Confidence: 0.232000
Start: 21.362960, Duration: 0.424630, Confidence: 0.092000
Start: 21.787600, Duration: 0.418430, Confidence: 0.232000
Start: 22.206030, Duration: 0.415540, Confidence: 0.224000
Start: 22.621570, Duration: 0.407120, Confidence: 0.248000
Start: 23.028690, Duration: 0.406080, Confidence: 0.210000
Start: 23.434770, Duration: 0.404280, Confidence: 0.099000
Start: 23.839050, Duration: 0.406530, Confidence: 0.112000
Start: 24.245580, Duration: 0.410970, Confidence: 0.110000
Start: 24.656550, Duration: 0.418730, Confidence: 0.117000
Start: 25.075280, Duration: 0.426490, Confidence: 0.108000
Start: 25.501770, Duration: 0.432760, Confidence: 0.598000
Start: 25.934540, Duration: 0.430920, Confidence: 0.540000
Start: 26.365450, Duration: 0.429090, Confidence: 0.527000
Start: 26.794540, Duration: 0.427250, Confidence: 0.512000
Start: 27.221790, Duration: 0.429480, Confidence: 0.347000
Start: 27.651270, Duration: 0.423970, Confidence: 0.356000
Start: 28.075240, Duration: 0.420310, Confidence: 0.223000
Start: 28.495550, Duration: 0.425880, Confidence: 0.150000
Start: 28.921430, Duration: 0.427400, Confidence: 0.484000
Start: 29.348830, Duration: 0.424200, Confidence: 0.454000
Start: 29.773040, Duration: 0.423220, Confidence: 0.417000
Start: 30.196260, Duration: 0.416700, Confidence: 0.311000
Start: 30.612950, Duration: 0.415130, Confidence: 0.391000
Start: 31.028080, Duration: 0.416900, Confidence: 0.340000
Start: 31.444980, Duration: 0.405870, Confidence: 0.355000
Start: 31.850850, Duration: 0.401890, Confidence: 0.370000
