Start: 0.456730, Duration: 0.216690, Confidence: 0.908000
Start: 0.673420, Duration: 0.216690, Confidence: 0.908000
Start: 0.890110, Duration: 0.211180, Confidence: 0.819000
Start: 1.101290, Duration: 0.211180, Confidence: 0.819000
Start: 1.312470, Duration: 0.217680, Confidence: 0.787000
Start: 1.530150, Duration: 0.217680, Confidence: 0.787000
Start: 1.747830, Duration: 0.218410, Confidence: 0.438000
Start: 1.966250, Duration: 0.218410, Confidence: 0.438000
Start: 2.184660, Duration: 0.217330, Confidence: 0.241000
Start: 2.401990, Duration: 0.217330, Confidence: 0.241000
Start: 2.619320, Duration: 0.219970, Confidence: 0.100000
Start: 2.839290, Duration: 0.219970, Confidence: 0.100000
Start: 3.059270, Duration: 0.218680, Confidence: 0.035000
Start: 3.277950, Duration: 0.218680, Confidence: 0.035000
Start: 3.496630, Duration: 0.215720, Confidence: 0.022000
Start: 3.712350, Duration: 0.215720, Confidence: 0.022000
Start: 3.928070, Duration: 0.212400, Confidence: 0.552000
Start: 4.140470, Duration: 0.212400, Confidence: 0.552000
Start: 4.352860, Duration: 0.212440, Confidence: 0.694000
Start: 4.565300, Duration: 0.212440, Confidence: 0.694000
Start: 4.777740, Duration: 0.211350, Confidence: 0.719000
Start: 4.989090, Duration: 0.211350, Confidence: 0.719000
Start: 5.200450, Duration: 0.213460, Confidence: 0.778000
Start: 5.413910, Duration: 0.213460, Confidence: 0.778000
Start: 5.627370, Duration: 0.214450, Confidence: 0.684000
Start: 5.841810, Duration: 0.214450, Confidence: 0.684000
Start: 6.056260, Duration: 0.215810, Confidence: 0.573000
Start: 6.272070, Duration: 0.215810, Confidence: 0.573000
Start: 6.487880, Duration: 0.221110, Confidence: 0.274000
Start: 6.708990, Duration: 0.221110, Confidence: 0.274000
Start: 6.930100, Duration: 0.221340, Confidence: 0.152000
Start: 7.151430, Duration: 0.221340, Confidence: 0.152000
Start: 7.372770, Duration: 0.220050, Confidence: 0.666000
